coin,current_price,1h,price_change_percentage_24h,7d,total_volume,market_cap,date,liquidity_ratio,volatility_range,price_change_ratio,cap_per_supply,liquidity_level
Bitcoin Cash,295.57,0.018,0.015,0.039,1378527955.0,5613130722.0,2022-03-16,0.24558985408927378,0,5.074939946543966e-05,0,High
LEO Token,5.97,0.0069999999999999,0.01,0.055,831673.0,5547865232.0,2022-03-16,0.00014990865228717583,0,0.0016750418760469012,0,Low
OKB,19.05,0.013,0.039,0.072,180398248.0,4944831000.0,2022-03-16,0.03648218675218627,0,0.0020472440944881887,0,Medium
Algorand,0.731009,0.025,0.0139999999999999,-0.01,151572159.0,4824820884.0,2022-03-16,0.03141508516982285,0,0.019151610992477384,0,Medium
Stellar,0.186969,0.017,0.026,0.079,257508818.0,4584325546.0,2022-03-16,0.05617158192979692,0,0.13906048596291362,0,Medium
Uniswap,9.05,0.032,0.04,0.025,188489995.0,4103226435.0,2022-03-16,0.04593702004651859,0,0.00441988950276243,0,Medium
Hedera,0.200008,0.012,-0.0069999999999999,-0.024,65559083.0,3922919996.0,2022-03-16,0.01671180729325279,0,-0.03499860005599726,0,Medium
Axie Infinity,50.46,0.036,0.062,0.089,288996469.0,3733676299.0,2022-03-16,0.07740265782478321,0,0.0012286959968291716,0,High
Decentraland,2.43,0.021,0.065,0.0139999999999999,481292822.0,3652548066.0,2022-03-16,0.13176905910702394,0,0.026748971193415638,0,High
Ethereum Classic,26.93,0.0279999999999999,0.031,0.01,315618129.0,3573077723.0,2022-03-16,0.08833228758735288,0,0.0011511325659116227,0,High
Elrond,162.55,0.025,0.049,0.2289999999999999,318813970.0,3550487729.0,2022-03-16,0.08979441539706276,0,0.0003014457090126115,0,High
The Sandbox,3.08,0.009,0.126,0.092,989130040.0,3486478110.0,2022-03-16,0.28370464657814815,0,0.04090909090909091,0,High
Internet Computer,16.26,0.02,0.019,-0.035,158065484.0,3447698400.0,2022-03-16,0.04584666802641438,0,0.001168511685116851,0,Medium
Monero,189.34,0.003,0.011,-0.073,251596905.0,3416516046.0,2022-03-16,0.07364136494970233,0,5.8096545896271255e-05,0,High
cETH,53.71,-0.001,0.009,0.04,1088.54,3191011869.0,2022-03-16,3.411269041569334e-07,0,0.0001675665611617948,0,Low
VeChain,0.047848054559,0.0279999999999999,0.033,0.0279999999999999,283498801.0,3172681612.0,2022-03-16,0.08935620893307589,0,0.6896832129153484,0,High
Fantom,1.22,0.043,0.022,-0.079,1173101401.0,3072929159.0,2022-03-16,0.3817534802467602,0,0.0180327868852459,0,High
Filecoin,17.27,0.016,0.01,-0.0409999999999999,264401106.0,3052322720.0,2022-03-16,0.08662291974159272,0,0.0005790387955993052,0,High
Osmosis,9.39,0.0139999999999999,0.018,-0.001,94042665.0,3040277019.0,2022-03-16,0.030932268478262637,0,0.0019169329073482426,0,Medium
Klaytn,1.1,0.016,0.023,-0.012,57133059.0,3034567731.0,2022-03-16,0.018827412687596395,0,0.02090909090909091,0,Medium
Frax,0.998392,-0.002,0.001,-0.0,18194194.0,2866968260.0,2022-03-16,0.0063461442018196606,0,0.0010016105898284441,0,Low
Waves,28.62,0.0139999999999999,0.081,0.273,1508088374.0,2862185867.0,2022-03-16,0.5269009226087412,0,0.002830188679245283,0,High
Theta Network,2.82,0.032,0.033,-0.004,118835496.0,2798708447.0,2022-03-16,0.04246083443503467,0,0.01170212765957447,0,Medium
Magic Internet Money,0.997676,0.0,0.004,0.002,44641451.0,2784271477.0,2022-03-16,0.01603344047761475,0,0.004009317654228427,0,Medium
The Graph,0.440816,0.003,0.0409999999999999,0.315,388652958.0,2731591470.0,2022-03-16,0.14228077743997347,0,0.09300932815505766,0,High
Tezos,3.05,0.021,0.025,0.013,114838106.0,2665887669.0,2022-03-16,0.04307687354399178,0,0.00819672131147541,0,Medium
cUSDC,0.022533007284,-0.001,0.001,0.001,41.83,2449140377.0,2022-03-16,1.707946199933153e-08,0,0.04437934037815136,0,Low
Helium,21.72,-0.002,0.048,0.026,22415718.0,2183873719.0,2022-03-16,0.010264200628900924,0,0.0022099447513812156,0,Low
THORChain,7.23,0.04,-0.059,0.769,297836092.0,2165143023.0,2022-03-16,0.13755954633764625,0,-0.008160442600276624,0,High
EOS,2.06,0.019,0.032,0.048,337828464.0,2019196307.0,2022-03-16,0.16730838048229454,0,0.015533980582524271,0,High
ECOMI,0.003406821495,0.019,0.027,-0.2189999999999999,3444049.0,1976983567.0,2022-03-16,0.0017420726492057888,0,7.925275814898543,0,Low
IOTA,0.712336,0.018,0.011,0.012,26950213.0,1976598984.0,2022-03-16,0.013634638699176829,0,0.01544215089508322,0,Low
cDAI,0.021895790224,-0.001,0.0,-0.0,93.89,1942222665.0,2022-03-16,4.834152216012782e-08,0,0.0,0,Low
Flow,5.43,0.017,0.023,-0.053,57457444.0,1923544184.0,2022-03-16,0.029870613047482772,0,0.00423572744014733,0,Medium
Theta Fuel,0.162482,0.024,0.0069999999999999,0.064,16105407.0,1886178774.0,2022-03-16,0.008538642901725286,0,0.04308169520316035,0,Low
Aave,137.44,0.037,0.131,0.129,282336331.0,1862097786.0,2022-03-16,0.15162271988223072,0,0.0009531431897555297,0,High
Zcash,148.94,0.02,0.065,0.075,276825707.0,1801878133.0,2022-03-16,0.1536317589575854,0,0.0004364173492681617,0,High
Maker,1982.58,0.0289999999999999,0.071,0.129,92847731.0,1772467945.0,2022-03-16,0.052383306147745314,0,3.58119218392196e-05,0,Medium
JUNO,38.35,0.018,0.096,-0.03,11491328.0,1747597737.0,2022-03-16,0.006575499473767057,0,0.002503259452411995,0,Low
Gala,0.227781,0.026,0.047,0.037,551763058.0,1714837250.0,2022-03-16,0.3217582648149263,0,0.20633854447912686,0,High
BitTorrent,1.812224e-06,0.0069999999999999,0.022,0.003,87836205.0,1675881629.0,2022-03-16,0.05241193857612243,0,12139.779629891227,0,Medium
Arweave,32.52,-0.003,0.074,0.002,50636342.0,1637697784.0,2022-03-16,0.03091922239543068,0,0.002275522755227552,0,Medium
Huobi BTC,41217.27,0.026,0.039,0.068,190002.0,1637583015.0,2022-03-16,0.00011602587365624331,0,9.462053163637476e-07,0,Low
PancakeSwap,5.57,0.026,0.01,-0.068,104112686.0,1530696417.0,2022-03-16,0.06801654779074327,0,0.0017953321364452422,0,High
Quant,112.58,0.018,0.003,0.013,23727064.0,1505335556.0,2022-03-16,0.01576197672700159,0,2.6647717178895007e-05,0,Medium
Harmony,0.127445,0.025,0.017,-0.012,75144435.0,1499937034.0,2022-03-16,0.0500983929969423,0,0.13339087449488016,0,Medium
eCash,7.9294818e-05,0.019,-0.005,0.144,37446216.0,1497455570.0,2022-03-16,0.025006562298205616,0,-63.05582289122601,0,Medium
Bitcoin SV,77.11,0.013,0.015,-0.019,135219354.0,1461042552.0,2022-03-16,0.0925499081562684,0,0.00019452729866424587,0,High
NEO,20.13,0.024,0.0279999999999999,-0.017,148274906.0,1406977569.0,2022-03-16,0.10538540859992915,0,0.0013909587680079433,0,High
TrueUSD,1.0,0.0,0.001,0.001,114862495.0,1404670246.0,2022-03-16,0.08177185736445079,0,0.001,0,High
Huobi Token,8.98,0.01,0.009,-0.025,32112940.0,1392164927.0,2022-03-16,0.023066907790300913,0,0.0010022271714922048,0,Medium
KuCoin Token,18.41,0.0139999999999999,0.009,0.02,8578734.0,1390455505.0,2022-03-16,0.006169729249984162,0,0.0004888647474198804,0,Low
Celsius Network,3.18,0.009,0.032,0.098,3927635.0,1346075894.0,2022-03-16,0.0029178406786029257,0,0.010062893081761006,0,Low
Stacks,1.26,0.018,0.026,0.183,44370134.0,1317492670.0,2022-03-16,0.03367770843081806,0,0.020634920634920634,0,Medium
Humans.ai,0.044270474958,0.025,0.086,-0.547,1852838.0,1309127902.0,2022-03-16,0.0014153223662633386,0,1.9426039608020775,0,Low
Enjin Coin,1.4,0.018,0.05,0.046,133821819.0,1300650179.0,2022-03-16,0.10288840240108867,0,0.03571428571428572,0,High
Basic Attention Token,0.822605,0.021,0.055,0.251,324813983.0,1223583998.0,2022-03-16,0.2654611236587944,0,0.0668607654949824,0,High
NEXO,2.19,0.015,0.031,0.098,4583402.0,1222563065.0,2022-03-16,0.003749010690094748,0,0.014155251141552512,0,Low
Amp,0.025036137658,0.018,0.0069999999999999,0.003,8084731.0,1198878147.0,2022-03-16,0.006743580254782974,0,0.27959584244269936,0,Low
Radix,0.121859,0.015,0.064,-0.001,215995.0,1198319388.0,2022-03-16,0.0001802482728419312,0,0.5251971540879213,0,Low
Kusama,126.84,0.025,0.04,0.038,65896976.0,1132594631.0,2022-03-16,0.058182313597776536,0,0.000315357931251971,0,Medium
Celo,2.52,0.022,0.037,-0.076,46620149.0,1074226736.0,2022-03-16,0.043398797886557164,0,0.014682539682539682,0,Medium
Kadena,6.23,0.024,0.009,0.031,58659719.0,1061714057.0,2022-03-16,0.05525001634220616,0,0.0014446227929373996,0,Medium
Chiliz,0.198241,0.026,0.024,0.02,109408277.0,1049331415.0,2022-03-16,0.10426474937853643,0,0.12106476460469832,0,High
Dash,97.64,0.016,0.005,0.03,245449241.0,1035525179.0,2022-03-16,0.23702875215166544,0,5.1208521097910693e-05,0,High
Frax Share,17.92,0.006,-0.011,0.006,4834916.0,1031430071.0,2022-03-16,0.004687584874573625,0,-0.0006138392857142856,0,Low
Pax Dollar,0.999025,-0.002,0.001,-0.001,57639449.0,994783973.0,2022-03-16,0.05794167433777102,0,0.001000975951552764,0,Medium
BitDAO,1.12,0.025,0.019,0.036,54570658.0,993438990.0,2022-03-16,0.05493106124212016,0,0.016964285714285713,0,Medium
GateToken,6.52,0.012,0.031,-0.005,7695401.0,979761512.0,2022-03-16,0.0078543613989197,0,0.004754601226993865,0,Low
Convex Finance,18.29,0.038,0.054,0.147,45253981.0,979304335.0,2022-03-16,0.046210334604512904,0,0.002952433023510115,0,Medium
Synthetix Network Token,4.24,0.053,0.079,0.084,63349615.0,903998693.0,2022-03-16,0.07007710906059905,0,0.018632075471698113,0,High
Xido Finance,30.86,-0.027,-0.049,0.7659999999999999,1464061.0,893636559.0,2022-03-16,0.0016383181565874142,0,-0.0015878159429682439,0,Low
Loopring,0.710702,0.03,0.035,-0.033,112235393.0,881663508.0,2022-03-16,0.1272995785598512,0,0.049247082462129,0,High
NEM,0.098240605826,0.021,0.043,0.037,20866042.0,879585159.0,2022-03-16,0.023722594437271538,0,0.43770088385000344,0,Medium
Anchor Protocol,3.1,0.06,0.088,-0.18,107525684.0,807556039.0,2022-03-16,0.13314950146760032,0,0.028387096774193547,0,High
Oasis Network,0.227889,0.036,0.07,0.027,65843862.0,794382929.0,2022-03-16,0.08288680382757822,0,0.30716708573033363,0,High
Curve DAO Token,2.02,0.026,0.022,-0.006,150926378.0,791197822.0,2022-03-16,0.19075681682045884,0,0.01089108910891089,0,High
Decred,56.87,0.02,0.143,0.088,25032753.0,787162797.0,2022-03-16,0.031801239966375086,0,0.002514506769825919,0,Medium
cUSDT,0.021768404499,0.0,0.0,0.0,8111.5,775425368.0,2022-03-16,1.0460710127296221e-05,0,0.0,0,Low
Secret,4.61,0.017,0.008,0.027,19871872.0,763750478.0,2022-03-16,0.02601880139183363,0,0.0017353579175704988,0,Medium
LINK,129.46,0.036,0.018,0.024,1207902.0,759436472.0,2022-03-16,0.0015905240853378451,0,0.0001390390854317936,0,Low
Mina Protocol,1.81,0.015,0.105,-0.004,70360743.0,756143474.0,2022-03-16,0.09305210640487523,0,0.058011049723756904,0,High
Holo,0.00414796568,0.027,0.027,0.0279999999999999,63199499.0,734353201.0,2022-03-16,0.08606144688133524,0,6.50921489784361,0,High
Compound,109.58,0.026,0.045,0.052,40756551.0,726097698.0,2022-03-16,0.05613094644462018,0,0.000410658879357547,0,Medium
IoTeX,0.076638517501,0.042,0.0069999999999999,0.1169999999999999,91722669.0,717099434.0,2022-03-16,0.12790788090344526,0,0.0913378837202659,0,High
Bitkub Coin,7.89,0.004,0.0,-0.034,2193655.0,698922310.0,2022-03-16,0.0031386249496027675,0,0.0,0,Low
Neutrino USD,1.0,0.003,-0.001,0.0069999999999999,15319422.0,687954763.0,2022-03-16,0.02226806590188547,0,-0.001,0,Medium
yearn.finance,18982.86,0.017,0.017,-0.0139999999999999,81875140.0,678377900.0,2022-03-16,0.12069252256006571,0,8.955447177085013e-07,0,High
Nexus Mutual,92.51,0.026,0.035,0.065,1909.73,633750394.0,2022-03-16,3.0133787972051343e-06,0,0.0003783374770295103,0,Low
XDC Network,0.050635431946,-0.002,-0.022,0.0969999999999999,9930593.0,616292915.0,2022-03-16,0.016113430413198893,0,-0.434478371261093,0,Medium
1inch,1.5,0.021,0.111,0.163,120457113.0,616145134.0,2022-03-16,0.19550119988450643,0,0.074,0,High
WAX,0.274089,0.021,0.02,0.0,26837225.0,615219740.0,2022-03-16,0.043622177987981986,0,0.07296899912072355,0,Medium
Smooth Love Potion,0.016547553043,0.019,0.018,-0.076,99341158.0,614525601.0,2022-03-16,0.16165503575171639,0,1.0877741230516507,0,High
Qtum,5.95,0.0289999999999999,0.023,0.036,79032386.0,612948390.0,2022-03-16,0.12893807584680989,0,0.003865546218487395,0,High
PAX Gold,1935.78,0.0069999999999999,0.005,-0.057,30748651.0,611668819.0,2022-03-16,0.05027009722396852,0,2.5829381437973323e-06,0,Medium
Sushi,3.12,0.036,0.069,0.0819999999999999,132202954.0,603245561.0,2022-03-16,0.21915280036349907,0,0.022115384615384617,0,High
renBTC,40555.22,0.016,0.034,0.048,14829115.0,602582895.0,2022-03-16,0.024609253138524616,0,8.383631009768903e-07,0,Medium
Livepeer,23.82,0.03,0.023,0.024,11291907.0,589774119.0,2022-03-16,0.019146155513141465,0,0.0009655751469353484,0,Medium
Ankr,0.072181812557,0.023,0.016,-0.064,40789205.0,587511707.0,2022-03-16,0.06942705058301077,0,0.22166248578705666,0,High
Bancor Network Token,2.29,0.017,0.033,0.062,26117403.0,583581643.0,2022-03-16,0.04475364040880223,0,0.014410480349344978,0,Medium
Pocket Network,0.699085,0.019,-0.003,-0.055,974551.0,580439408.0,2022-03-16,0.0016789883432587335,0,-0.004291323658782552,0,Low
Marinade staked SOL,88.63,0.025,0.0139999999999999,0.043,18662090.0,578275391.0,2022-03-16,0.032271976795913836,0,0.00015796005867087782,0,Medium
OMG Network,4.11,0.019,0.016,0.081,106689838.0,574825195.0,2022-03-16,0.1856039695685225,0,0.00389294403892944,0,High
Zilliqa,0.041008132304,0.033,0.032,0.047,37965285.0,571307984.0,2022-03-16,0.06645327225113662,0,0.7803330266976989,0,High
SafeMoon,0.001028389235,0.038,-0.034,-0.088,406894.0,566255393.0,2022-03-16,0.000718569756738723,0,-33.061411810674976,0,Low
Render Token,2.43,0.024,0.035,-0.031,23720000.0,560228533.0,2022-03-16,0.0423398641853895,0,0.01440329218106996,0,Medium
Fei USD,1.0,0.001,0.0,0.003,10254055.0,557210659.0,2022-03-16,0.018402474601621,0,0.0,0,Medium
Gnosis,298.83,0.021,0.025,-0.003,2883611.0,553256284.0,2022-03-16,0.005212070939622622,0,8.36596057959375e-05,0,Low
ICON,0.753601,0.026,-0.013,0.21,45059623.0,549632622.0,2022-03-16,0.08198134753362583,0,-0.017250507894761288,0,High
Ravencoin,0.051804162049,0.027,0.042,0.006,19390191.0,538520749.0,2022-03-16,0.03600639536360743,0,0.810745668664102,0,Medium
IOST,0.022568760363,0.025,0.011,0.015,35343794.0,517770891.0,2022-03-16,0.06826145427321831,0,0.4873993884942736,0,High
Bitcoin Gold,29.74,0.018,0.0279999999999999,0.032,9146317.0,517358240.0,2022-03-16,0.017678885330984582,0,0.0009414929388029557,0,Medium
Kava,3.16,0.023,0.035,0.034,22753924.0,504959645.0,2022-03-16,0.045060876102287345,0,0.011075949367088608,0,Medium
UMA,7.74,0.018,0.018,-0.016,46067620.0,503487995.0,2022-03-16,0.09149695813501968,0,0.002325581395348837,0,High
OEC Token,32.27,0.023,0.01,-0.062,5163788.0,488521386.0,2022-03-16,0.010570239395824526,0,0.00030988534242330334,0,Low
Songbird,0.062799688152,0.022,0.006,-0.1369999999999999,2629530.0,486741272.0,2022-03-16,0.005402315668024962,0,0.09554187570928115,0,Low
e-Radix,0.122181,0.022,0.063,0.004,2588295.0,484119330.0,2022-03-16,0.005346398789736407,0,0.5156284528691041,0,Low
Velas,0.213154,-0.0,0.004,-0.037,4105033.0,483094532.0,2022-03-16,0.008497370034401465,0,0.01876577497959222,0,Low
Rocket Pool,30.03,0.024,0.0409999999999999,0.15,578038.0,480593962.0,2022-03-16,0.0012027575161254315,0,0.0013653013653013618,0,Low
Tether Gold,1950.12,0.003,-0.002,-0.044,3689853.0,480346972.0,2022-03-16,0.007681641011780959,0,-1.0255779131540624e-06,0,Low
Moonbeam,2.38,0.023,0.038,-0.036,37324761.0,476681084.0,2022-03-16,0.07830132609163908,0,0.015966386554621848,0,High
Sapphire,0.564647,0.02,0.001,0.0139999999999999,432768.0,470978131.0,2022-03-16,0.0009188706895607432,0,0.0017710179988559224,0,Low
Horizen,38.73,0.015,0.061,0.026,29127070.0,469969529.0,2022-03-16,0.06197650741735641,0,0.0015750064549444876,0,Medium
WOO Network,0.492556,0.019,0.087,0.124,60339780.0,467152311.0,2022-03-16,0.12916511077690035,0,0.17662966241401992,0,High
Liquity USD,1.0,0.0,0.0,-0.008,3222808.0,464727068.0,2022-03-16,0.006934840300716032,0,0.0,0,Low
Golem,0.465346,0.016,0.022,-0.085,15905189.0,464458665.0,2022-03-16,0.03424457373402647,0,0.04727665006253411,0,Medium
Rally,0.180078,0.026,0.001,-0.0579999999999999,3356848.0,464413872.0,2022-03-16,0.007228138956193798,0,0.0055531491909061636,0,Low
Baby Doge Coin,2.864e-09,0.026,0.021,-0.039,10651029.0,452640717.0,2022-03-16,0.02353086808140594,0,7332402.234636872,0,Medium
Audius,0.735289,0.027,0.026,0.02,7909768.0,447883958.0,2022-03-16,0.017660306556458536,0,0.035360246107312907,0,Medium
Siacoin,0.008880296534,0.018,0.022,-0.004,12295120.0,446937901.0,2022-03-16,0.02750968305102413,0,2.4773947486740537,0,Medium
Metis Token,146.38,0.026,0.009,-0.047,38905039.0,436965500.0,2022-03-16,0.08903457824473557,0,6.148380926356059e-05,0,High
Ontology,0.499727,0.021,0.0289999999999999,-0.011,30824913.0,433758425.0,2022-03-16,0.07106470150983235,0,0.0580316853001737,0,High
0x,0.509791,0.025,0.035,0.0279999999999999,29309302.0,427933388.0,2022-03-16,0.06849033709891317,0,0.06865558630889915,0,High
APENFT,1.523622e-06,0.004,0.005,-0.047,69002807.0,421365369.0,2022-03-16,0.16376003363484767,0,3281.6538485267342,0,High
SKALE,0.12635,0.013,0.043,0.1119999999999999,11283316.0,407687711.0,2022-03-16,0.02767637016167014,0,0.34032449544914917,0,Medium
SwissBorg,0.428284,0.022,0.026,-0.054,1063375.0,403883855.0,2022-03-16,0.0026328732551094422,0,0.06070738108358005,0,Low
dYdX,4.64,0.0289999999999999,0.032,-0.036,95015055.0,396760804.0,2022-03-16,0.2394769191968872,0,0.006896551724137932,0,High
Dogelon Mars,7.24104e-07,0.043,0.072,0.0279999999999999,10950097.0,394017729.0,2022-03-16,0.027790873846694344,0,99433.23058566172,0,Medium
Olympus,28.12,0.0139999999999999,-0.019,-0.086,3529301.0,390854092.0,2022-03-16,0.009029714853285967,0,-0.0006756756756756756,0,Low
Constellation,0.152116,0.013,-0.013,0.249,1019712.0,382521151.0,2022-03-16,0.0026657663173245026,0,-0.08546109547976544,0,Low
Synapse,2.17,0.012,-0.078,0.0,9229483.0,380868743.0,2022-03-16,0.024232713158086592,0,-0.035944700460829496,0,Medium
Immutable X,1.57,0.043,0.012,0.049,87629552.0,365315958.0,2022-03-16,0.2398733208364251,0,0.007643312101910828,0,High
Convex CRV,1.95,0.038,0.021,0.0069999999999999,96902.91,364340007.0,2022-03-16,0.0002659683486255189,0,0.01076923076923077,0,Low
Everdome,0.042328407322,-0.004,0.09,-0.07,44769576.0,363656510.0,2022-03-16,0.12310951342518246,0,2.1262316655420883,0,High
Gemini Dollar,1.0,0.003,0.001,0.001,3181078.0,355825684.0,2022-03-16,0.008939989840643432,0,0.001,0,Low
JUST,0.048936163597,0.013,0.005,0.033,74944693.0,355779812.0,2022-03-16,0.21064908820627518,0,0.10217392685654912,0,High
Decentralized Social,33.97,0.005,0.111,0.192,768392.0,354095011.0,2022-03-16,0.0021700164535783306,0,0.0032675890491610246,0,Low
Polymath,0.384838,0.017,0.0139999999999999,-0.036,12205658.0,344258737.0,2022-03-16,0.03545489682081765,0,0.03637894386728935,0,Medium
NuCypher,0.419373,0.004,0.01,-0.098,4321357.0,342894249.0,2022-03-16,0.012602593985179378,0,0.02384512116898322,0,Low
REN,0.338855,0.032,0.012,-0.012,41048178.0,337192089.0,2022-03-16,0.12173529373638418,0,0.0354133774033141,0,High
Keep Network,0.609779,0.012,0.019,-0.066,2299639.0,333366751.0,2022-03-16,0.006898225432205745,0,0.031158829674357433,0,Low
Illuvium,519.92,0.023,0.038,0.033,11072513.0,332435430.0,2022-03-16,0.033307259096901916,0,7.308816741037083e-05,0,Medium
Flux,1.43,0.016,0.022,0.087,15489371.0,330216558.0,2022-03-16,0.04690670599261712,0,0.015384615384615384,0,Medium
Ethereum Name Service,14.05,0.04,0.043,0.016,39284120.0,326307175.0,2022-03-16,0.12038999755368542,0,0.003060498220640569,0,High
Hive,0.869127,0.015,0.0409999999999999,0.011,12455971.0,322775766.0,2022-03-16,0.038590167887635037,0,0.04717377322301562,0,Medium
Lido DAO,2.98,0.0409999999999999,0.085,0.515,4675420.0,321983024.0,2022-03-16,0.01452070342689868,0,0.02852348993288591,0,Low
STEPN,0.534126,0.073,0.573,2.935,1013704817.0,318571623.0,2022-03-16,3.182031115809709,0,1.0727805798631782,0,High
Spell Token,0.003547901833,0.015,0.009,-0.059,27285439.0,317144040.0,2022-03-16,0.08603484713129088,0,2.536710547143258,0,High
Nervos Network,0.010554840501,0.0139999999999999,0.02,-0.015,6162463.0,316458006.0,2022-03-16,0.019473240945593266,0,1.8948652040838643,0,Medium
Kyber Network Crystal,3.06,0.025,0.008,0.002,40287449.0,313785580.0,2022-03-16,0.1283916520319385,0,0.00261437908496732,0,High
FLEX Coin,3.97,0.002,0.006,-0.002,1326196326.0,311600507.0,2022-03-16,4.256078845211892,0,0.0015113350125944584,0,High
HUSD,0.999103,0.0,0.001,0.0,43235094.0,310668205.0,2022-03-16,0.13916806838987594,0,0.0010008978053313823,0,High
Ultra,1.15,0.01,0.024,-0.037,8976424.0,308351253.0,2022-03-16,0.029111034616097375,0,0.020869565217391306,0,Medium
ConstitutionDAO,0.060612313279,0.061,0.102,0.075,143678395.0,307184638.0,2022-03-16,0.46772649809395744,0,1.6828263843105844,0,High
LooksRare,1.29,0.086,0.177,0.231,48697099.0,306843547.0,2022-03-16,0.1587033505384423,0,0.13720930232558137,0,High
DeFi Kingdoms,4.16,0.04,0.016,-0.074,11440253.0,302825745.0,2022-03-16,0.03777833684517147,0,0.003846153846153846,0,Medium
Telcoin,0.004899527146,0.008,0.027,-0.011,2843059.0,301743735.0,2022-03-16,0.009422097860623353,0,5.510735872142875,0,Low
Tomb,1.18,0.031,0.01,-0.054,14140774.0,300452818.0,2022-03-16,0.04706487392639466,0,0.00847457627118644,0,Medium
Stargaze,0.401895,0.0139999999999999,-0.005,-0.125,1726553.0,300351592.0,2022-03-16,0.005748439648690126,0,-0.012441060475994975,0,Low
DigiByte,0.019668130187,0.03,0.018,0.059,15693285.0,297257419.0,2022-03-16,0.05279358561610871,0,0.9151861325331991,0,Medium
DigitalBits,0.389141,0.023,0.216,0.209,3821494.0,296998483.0,2022-03-16,0.0128670488865763,0,0.5550687283015667,0,Low
Syscoin,0.468329,0.023,-0.031,-0.074,12673226.0,296323527.0,2022-03-16,0.04276820719672387,0,-0.06619278327842179,0,Medium
Lisk,2.03,0.015,0.006,0.019,7600165.0,293297599.0,2022-03-16,0.025912810148848168,0,0.002955665024630542,0,Medium
